uID;Name;Firma;Alternativname;Quelle
520;Universität Oldenburg;Oticon A/S;;http://www.uni-oldenburg.de/deutschlandstipendium/foerderer/
520;Universität Oldenburg;Phonak AG;;http://www.uni-oldenburg.de/deutschlandstipendium/foerderer/
520;Universität Oldenburg;Pius-Hospital Oldenburg;;http://www.uni-oldenburg.de/deutschlandstipendium/foerderer/
520;Universität Oldenburg;Popken Fashion Group;;http://www.uni-oldenburg.de/deutschlandstipendium/foerderer/
520;Universität Oldenburg;Dr. Regina Prenzel;;http://www.uni-oldenburg.de/deutschlandstipendium/foerderer/
520;Universität Oldenburg;Dr. Christoph M. Ratusinski;;http://www.uni-oldenburg.de/deutschlandstipendium/foerderer/
520;Universität Oldenburg;Rotary Clubs Oldenburg;;http://www.uni-oldenburg.de/deutschlandstipendium/foerderer/
520;Universität Oldenburg;Rotary Club Nordenham;;http://www.uni-oldenburg.de/deutschlandstipendium/foerderer/
520;Universität Oldenburg;Rotary Club Osnabrück Distrikt 1850;;http://www.uni-oldenburg.de/deutschlandstipendium/foerderer/
520;Universität Oldenburg;Hubert Rothärmel;;http://www.uni-oldenburg.de/deutschlandstipendium/foerderer/
520;Universität Oldenburg;Rügenwalder Mühle;;http://www.uni-oldenburg.de/deutschlandstipendium/foerderer/
520;Universität Oldenburg;Elisabeth Sandbrink;;http://www.uni-oldenburg.de/deutschlandstipendium/foerderer/
520;Universität Oldenburg;Brigitte Schärf;;http://www.uni-oldenburg.de/deutschlandstipendium/foerderer/
520;Universität Oldenburg;Sparkasse Leer/Wittmund;;http://www.uni-oldenburg.de/deutschlandstipendium/foerderer/
520;Universität Oldenburg;Beate Schuler;;http://www.uni-oldenburg.de/deutschlandstipendium/foerderer/
520;Universität Oldenburg;Henning Schulz;;http://www.uni-oldenburg.de/deutschlandstipendium/foerderer/
520;Universität Oldenburg;Annette und Gerd Schwandner-Stiftung;;http://www.uni-oldenburg.de/deutschlandstipendium/foerderer/
520;Universität Oldenburg;Stiftung der Metallindustrie Nord-Westen;;http://www.uni-oldenburg.de/deutschlandstipendium/foerderer/
520;Universität Oldenburg;Universitätsgesellschaft Oldenburg e.V.;;http://www.uni-oldenburg.de/deutschlandstipendium/foerderer/
520;Universität Oldenburg;Verein zur Förderung der Versicherungs- und Finanzmathematik;;http://www.uni-oldenburg.de/deutschlandstipendium/foerderer/
520;Universität Oldenburg;Landschaftliche Brandkasse, Hannover;;http://www.uni-oldenburg.de/deutschlandstipendium/foerderer/
520;Universität Oldenburg;Verein der Freunde ZONTA e.V.;;http://www.uni-oldenburg.de/deutschlandstipendium/foerderer/
520;Universität Oldenburg;Widex A/ S;;http://www.uni-oldenburg.de/deutschlandstipendium/foerderer/
520;Universität Oldenburg;Von Mende Marketing GmbH;;http://www.uni-oldenburg.de/deutschlandstipendium/foerderer/
520;Universität Oldenburg;Dr. Kay und Maria Willborn;;http://www.uni-oldenburg.de/deutschlandstipendium/foerderer/
520;Universität Oldenburg;Dr. Liselotte Winzer;;http://www.uni-oldenburg.de/deutschlandstipendium/foerderer/
530;Universität Osnabrück;LMIS AG;;https://www.uni-osnabrueck.de/studieninteressierte/stipendien_und_foerderung/deutschlandstipendium.html
960;Universität Vechta;Grimme;;http://www.uni-vechta.de/oeffentlichkeit/deutschlandstipendium/foerderer-ws-201112/
960;Universität Vechta;Landessparkasse zu Oldenburg;;http://www.uni-vechta.de/oeffentlichkeit/deutschlandstipendium/foerderer-ws-201112/
960;Universität Vechta;Perso Plankontor;;http://www.uni-vechta.de/oeffentlichkeit/deutschlandstipendium/foerderer-ws-201112/
960;Universität Vechta;Volksbank Vechta eG;;http://www.uni-vechta.de/oeffentlichkeit/deutschlandstipendium/foerderer-ws-201112/
980;Universität Hildesheim;Wiegetechnik GmbH;;http://www.uni-hildesheim.de/studiumundlehre/studienfinanzierung/deutschland-stipendium/
980;Universität Hildesheim;Gebrüder Heyl Analysentechnik GmbH & Co. KG;;http://www.uni-hildesheim.de/studiumundlehre/studienfinanzierung/deutschland-stipendium/
980;Universität Hildesheim;Gemeinnützige Baugesellschaft zu Hildesheim AG;;http://www.uni-hildesheim.de/studiumundlehre/studienfinanzierung/deutschland-stipendium/
980;Universität Hildesheim;Heinz Sielmann Stiftung;;http://www.uni-hildesheim.de/studiumundlehre/studienfinanzierung/deutschland-stipendium/
980;Universität Hildesheim;Kühn Sicherheit GmbH;;http://www.uni-hildesheim.de/studiumundlehre/studienfinanzierung/deutschland-stipendium/
990;Leuphana Universität Lüneburg;Abraham Schinken GmbH;;http://www.leuphana.de/services/studierendenservice/studienkosten/deutschland-stipendium.html
1430;TU Braunschweig;Innovationsgesellschaft Technische Universität Braunschweig mbH;;https://www.tu-braunschweig.de/stipendien/deutschlandstipendien/foerderer
1430;TU Braunschweig;Trumpf;;https://www.tu-braunschweig.de/stipendien/deutschlandstipendien/foerderer
