Bundesland;Universität;Jahr;Name des Gebers;Geld-/Sachspende;Art der Leistung;Wert;Hinweis;Alternativname;Quelle
Thüringen;Ernst Abbe Fachhochschule Jena;2011;Unister Holding GmbH;Geldleistung;Sponsoring;595;Jubiläumsjahr 2011, 20- jähriges Bestehen der FH Jena, Feier;;http://www.thueringen.de/imperia/md/content/tim/tim/innenrevision/120917_sponsoring_bericht_web.pdf
Thüringen;Ernst Abbe Fachhochschule Jena;2011;AJZ Engineering GmbH;Geldleistung;Sponsoring;1785;Jubiläumsjahr 2011, 20- jähriges Bestehen der FH Jena, Feier;;http://www.thueringen.de/imperia/md/content/tim/tim/innenrevision/120917_sponsoring_bericht_web.pdf
Thüringen;Ernst Abbe Fachhochschule Jena;2011;Schott Glas;Geldleistung;Sponsoring;1785;Jubiläumsjahr 2011, 20- jähriges Bestehen der FH Jena, Feier;;http://www.thueringen.de/imperia/md/content/tim/tim/innenrevision/120917_sponsoring_bericht_web.pdf
Thüringen;Ernst Abbe Fachhochschule Jena;2011;Bosch;Geldleistung;Sponsoring;4165;Jubiläumsjahr 2011, 20- jähriges Bestehen der FH Jena, Feier;Bosch Solar Energy AG;http://www.thueringen.de/imperia/md/content/tim/tim/innenrevision/120917_sponsoring_bericht_web.pdf
Thüringen;Ernst Abbe Fachhochschule Jena;2011;TRIDELTA GmbH;Geldleistung;Sponsoring;1785;Jubiläumsjahr 2011, 20- jähriges Bestehen der FH Jena, Feier;;http://www.thueringen.de/imperia/md/content/tim/tim/innenrevision/120917_sponsoring_bericht_web.pdf
Thüringen;Ernst Abbe Fachhochschule Jena;2011;asphericon GmbH;Geldleistung;Sponsoring;1785;Jubiläumsjahr 2011, 20- jähriges Bestehen der FH Jena, Feier;;http://www.thueringen.de/imperia/md/content/tim/tim/innenrevision/120917_sponsoring_bericht_web.pdf
Thüringen;Ernst Abbe Fachhochschule Jena;2011;Bauerfeind;Geldleistung;Sponsoring;4165;Jubiläumsjahr 2011, 20- jähriges Bestehen der FH Jena, Feier;;http://www.thueringen.de/imperia/md/content/tim/tim/innenrevision/120917_sponsoring_bericht_web.pdf
Thüringen;Ernst Abbe Fachhochschule Jena;2011;Brose Gruppe;Geldleistung;Sponsoring;595;Jubiläumsjahr 2011, 20- jähriges Bestehen der FH Jena, Feier;;http://www.thueringen.de/imperia/md/content/tim/tim/innenrevision/120917_sponsoring_bericht_web.pdf
Thüringen;Ernst Abbe Fachhochschule Jena;2011;Jenoptik;Geldleistung;Sponsoring;892,5;Jubiläumsjahr 2011, 20- jähriges Bestehen der FH Jena, Feier;;http://www.thueringen.de/imperia/md/content/tim/tim/innenrevision/120917_sponsoring_bericht_web.pdf
Thüringen;Ernst Abbe Fachhochschule Jena;2011;Helmut Zipfel;Geldleistung;Sponsoring;550;Jubiläumsjahr 2011, 20- jähriges Bestehen der FH Jena, Feier;;http://www.thueringen.de/imperia/md/content/tim/tim/innenrevision/120917_sponsoring_bericht_web.pdf
Thüringen;Ernst Abbe Fachhochschule Jena;2011;LCP GmbH;Geldleistung;Sponsoring;654,5;Jubiläumsjahr 2011, 20- jähriges Bestehen der FH Jena, Feier;;http://www.thueringen.de/imperia/md/content/tim/tim/innenrevision/120917_sponsoring_bericht_web.pdf
Thüringen;Ernst Abbe Fachhochschule Jena;2011;KAHLA Thüringen Porzellan GmbH;Geldleistung;Sponsoring;1785;Jubiläumsjahr 2011, 20- jähriges Bestehen der FH Jena, Feier;;http://www.thueringen.de/imperia/md/content/tim/tim/innenrevision/120917_sponsoring_bericht_web.pdf
Thüringen;Ernst Abbe Fachhochschule Jena;2011;Verlag Franz Vahlen GmbH;Geldleistung;Sponsoring;595;Tagung BW ökonomie der Nachhaltigkeit;;http://www.thueringen.de/imperia/md/content/tim/tim/innenrevision/120917_sponsoring_bericht_web.pdf
Thüringen;Ernst Abbe Fachhochschule Jena;2011;Schaeffer- Poeschel-Verlag f. Wirtschaft;Geldleistung;Sponsoring;595;Tagung BW ökonomie der Nachhaltigkeit;;http://www.thueringen.de/imperia/md/content/tim/tim/innenrevision/120917_sponsoring_bericht_web.pdf
Thüringen;Ernst Abbe Fachhochschule Jena;2011;Analytik Jena AG;Geldleistung;Sponsoring;1190;Tagungsveranstaltung bbmec 2011, MT;;http://www.thueringen.de/imperia/md/content/tim/tim/innenrevision/120917_sponsoring_bericht_web.pdf
Thüringen;Ernst Abbe Fachhochschule Jena;2011;Eurocylinder systems AG;Geldleistung;Sponsoring;1785;Jubiläumsjahr 2011, 20 jähriges Bestehen der FH Jena, Feier;;http://www.thueringen.de/imperia/md/content/tim/tim/innenrevision/120917_sponsoring_bericht_web.pdf
Thüringen;Ernst Abbe Fachhochschule Jena;2011;Alere Technologies GmbH;Geldleistung;Sponsoring;1190;Tagungsveranstaltung bbmec 2011, MT;;http://www.thueringen.de/imperia/md/content/tim/tim/innenrevision/120917_sponsoring_bericht_web.pdf
