Bundesland;Uni;Name;Funktion;Unternehmen;Alternativname;Quelle
Sachsen;TU Dresden (ohne Klinikum);Prof. Dr. sc. nat. Knut Löschke;;Deutsche Bahn;Deutsche Bahn AG;https://tu-dresden.de/die_tu_dresden/gremien_und_beauftragte/hochschulrat
Sachsen;TU Dresden (ohne Klinikum);Dipl.-Ing. Jörg Thiele;;iproplan Planungsgesellschaft mbH;;https://tu-dresden.de/die_tu_dresden/gremien_und_beauftragte/hochschulrat
Sachsen;TU Dresden (ohne Klinikum);Prof. Martin Winterkorn;;Volkswagen;Volkswagen AG;https://tu-dresden.de/die_tu_dresden/gremien_und_beauftragte/hochschulrat
Sachsen;TU Chemnitz;Hans J. Naumann;;NILES-SIMMONS-HEGENSCHEIDT GmbH;;https://www.tu-chemnitz.de/verwaltung/hochschulrat/
Sachsen;TU Chemnitz;Dr.-Ing. E. h. Gunnar Grosse;;KOMSA Kommunikation Sachsen AG;;https://www.tu-chemnitz.de/verwaltung/hochschulrat/
Sachsen;TU Chemnitz;Dipl.-Kfm. Bodo Finger;;Chemnitzer Zahnradfabrik GmbH & Co. KG;;https://www.tu-chemnitz.de/verwaltung/hochschulrat/
Sachsen;Universität Leipzig (ohne Klinikum);Knut Löschke;;PC-Ware Information Technologies GmbH/AG;;http://www.zv.uni-leipzig.de/universitaet/profil/zentrale-organe/hochschulrat.html
Sachsen;Universität Leipzig (ohne Klinikum);Knut Löschke;;Comparex;;http://www.zv.uni-leipzig.de/universitaet/profil/zentrale-organe/hochschulrat.html
Schleswig-Holstein;FH Kiel;Katrin Birr;;Gebr. Friedrich GmbH & Co KG;;https://www.fh-kiel.de/index.php?id=204
Schleswig-Holstein;FH Westküste, Heide;Gunnar Liehr;Vorsitzender;Siemens;;http://www.fh-westkueste.de/startseite/gremien/hochschulrat/
Schleswig-Holstein;FH Westküste, Heide;Dr. Regina Buhr;;VDI/VDE Innovation + Technik GmbH;;http://www.fh-westkueste.de/startseite/gremien/hochschulrat/
