Land;Hochschule;Stiftungsprofessur;Stifter;Fördersumme pro Jahr;Fördersumme insgesamt;Laufzeit;Quelle;Alternativname;
;Universität Heidelberg;Radiochemie;Stiftung Energieforschung Baden-Württemberg;100000;1000000;10 Jahre;;;
;Universität Hohenheim;Unternehmens-gründungen und Unternehmertum (Entrepreneurship);Karl-Schlecht-Stiftung;260000;2560000;10 Jahre;;;
;;Nutzpflanzenbiodiver-sität und Züchtungs-informatik;KWS Saat AG;200000;1600000;8 Jahre;;;
;;Feed Gut Microbiota Interaktion;Carl Zeiss;100000;400000;4 Jahre;;Carl-Zeiss-Stiftung;
;;Max-Eyth-Stiftungsprofessur Mess- und Prüftechnik;DLG e.V. (Deutsche Landwirtschafts-Gesellschaft);180000;880000;5 Jahre;;;
;Karlsruher Institut für Technologie (KIT);Financial Engineering und Derivate;GZ-Bank AG Frankfurt/ Stuttgart und SGZ-Bank-;150000;1500000;10 Jahre;;;
;;Interaktive Echtzeitsys-teme (Analoge Anwen-dung);Fraunhofer-Gesellschaft;80000;800000;10 Jahre;;;
;;Mobile Arbeitsmaschinen;Förderverein für Mobile Arbeitsmaschinen e.V.;150000;1500000;10 Jahre;;;
;;Tektonik und Strukturgeologie mit technischen Anwendungen in der Geothermie;EnBW;400000;2000000;5 Jahre;;;
;;Bahnsystemtechnik;Bombardier Transportation;120000;1200000;10 Jahre;;;
;;Hybridelektrische Fahrzeuge;Daimler;660000;3300000;5 Jahre;;Stifterverband für die Deutsche Wissenschaft/Daimler Fond;
;;Technische Petrophysik;Herrenknecht AG;480000;2400000;5;;;
;Karlsruher Institut für Technologie (KIT) - Bereich Hochschule;Angewandte Wirtschaftsforschung;Thurgauer Kantonalbank;140000;1400000;10 Jahre;;;
;;Angewandte Informatik;Altana AG;500000;5000000;10 Jahre;;;
;;Empirische Bildungsforschung/Erziehungswissenschaft mit dem Schwerpunkt Fühe Kindheit;Thurgauische Stiftung für Wissenschaft und Forschung;110000;660000;6 Jahre;;;
;;Thurgauische Stiftung für Wissenschaft und Forschung;Thurgauische Stiftung für Wissenschaft und Forschung;300000;3000000;10 Jahre;;;
