Land;Hochschule;Stiftungsprofessur;Stifter;Fördersumme pro Jahr;Fördersumme insgesamt;Laufzeit;Quelle;Alternativname;
;WestfÃ¤lische Hochschule Gelsenkirchen Bocholt Recklinghausen;Bionik und Leichtbau;Fördergesellschaft Westmünsterland der Fachhochschule in Bocholt/Ahaus;;; 01.09.2012 bis 31.08.2017;;;
;;Bionik und Sensorik;Fördergesellschaft Westmünsterland der Fachhochschule in Bocholt/Ahaus;;;18.01.2011 bis 17.01.2016;;;
;;Angewandte Informatik;Tobit Software;;;01.01.2007 bis 31.12.2014;;;
;;BWL, insbesondere Workflow-Management im Gesundheitswesen;"Schwenninger BKK (bis 31.12.2011),
danach von den ""Evangelischen Kliniken Gelsenkirchen""";;;01.01.2007 bis 31.12.2014;;;
;FH Münster;Gebäudenutzungskosten, Immobilien-Lebenszyklus Management;agn Niederberghaus & Partner GmbH, HVB Immobilien AG;;;;;;
;;Nachhaltige Ernährung/Ernährungsökologie;Apetito AG;;;;;;
;;;Niehoffs Kaffeerösterei GmbH;;;;;;
;;;Ulrich Walter GmbH;;;;;;
;;;Davert GmbH;;;;;;
;;;SuperBioMarkt AG;;;;;;
;;;Weiling GmbH;;;;;;
;;;EDEN-STIFTUNG SV (Deutschland) GmbH;;;;;;
;;;Molkerei Söbbeke GmbH & Co. KG;;;;;;
;;;Teutoburger Ölmühle GmbH Treuhandstelle e.V.;;;;;;
;;Digitales Geschäftsprozessmanagement;d.velop AG;;;;;;
;;;Hupfer Metallwerke GmbH & Co. KG;;;;;;
;;;Sparkasse Westmünsterland;;;;;;
;;;Dornieden GmbH Anlagentechnik;;;;;;
;;;Maschinenbau Scholz GmbH & Co. KG;;;;;;
;;;Stadtwerke Coesfeld GmbH;;;;;;
;;;EHG Service GmbH;;;;;;
;;;Parador GmbH & Co. KG;;;;;;
;;;VR-Bank Westmünsterland eG;;;;;;
;;;German Assistance Versicherung AG;;;;;;
;;;Schönox GmbH;;;;;;
;;;Weiling GmbH;;;;;;
;;Geschäftsprozessmanagement, Lean Management, Supply Chain Management;d.velop AG;;;;;;
;;;Hupfer Metallwerke GmbH & Co. KG;;;;;;
;;;Sparkasse Westmünsterland;;;;;;
;;;Dornieden GmbH Anlagentechnik;;;;;;
;;;Maschinenbau Scholz GmbH & Co. KG;;;;;;
;;;Stadtwerke Coesfeld GmbH;;;;;;
;;;EHG Service GmbH;;;;;;
;;;Parador GmbH & Co. KG;;;;;;
;;;VR-Bank Westmünsterland eG;;;;;;
;;;German Assistance Versicherung AG;;;;;;
;;;Schönox GmbH;;;;;;
;;;Weiling GmbH;;;;;;
;;"Dienstleistungs- und Facility Management und
Consumer Facility Management";d.velop AG;;;;;;
;;;Hupfer Metallwerke GmbH & Co. KG;;;;;;
;;;Sparkasse Westmünsterland;;;;;;
;;;Dornieden GmbH Anlagentechnik;;;;;;
;;;Maschinenbau Scholz GmbH & Co. KG;;;;;;
;;;Stadtwerke Coesfeld GmbH;;;;;;
;;;EHG Service GmbH;;;;;;
;;;Parador GmbH & Co. KG;;;;;;
;;;VR-Bank Westmünsterland eG;;;;;;
;;;German Assistance Versicherung AG;;;;;;
;;;Schönox GmbH;;;;;;
;;;Weiling GmbH;;;;;;
;Deutsche Sporthochschule Köln;Klinische Forschung in Orthopädie und Biomechanik;R,B & E Klinik GmbH, Pforzheim;;;3 Jahre, seit 01.08.2012;;;
;;Präventionsforschung mit dem Schwerpunkt betriebliche Gesundheitsförderung;Institut für betriebliche Gesundheitsförderung, Köln;;;5 Jahre, ab 2013;;;
;Universität Bielefeld;Algenbiotechnologie und Bioenergie;Stadtwerke Bielefeld;;;Seit 2009;;;
;Universität Köln;Energiewirtschaft;Deutsche Energiewirtschaft;;;Seit 2012;;;
;;Allgemeine Betriebswirtschaftslehre und Unternehmensentwicklung;Ernst & Young;;;Seit 2012;;;
;;Finanzmarktforschung;Fördergesellschaft Finanzmarktforschung e.V.;;;Seit 2012;;;
;;Marketing und Handel;Baumarkt Obi;;;Seit 2009;;;
;;Wirtschaftsinformatik und Informations System Technology;SQS AG;;;Seit 2010;;;
;;Internationales Investitionsrecht;Generali;;;Seit 2010;;;
;;Geriatrie;St. Marien-Hospital GmbH;;;Seit 2008;;;
;;Palliativmedizin;Deutsche Krebshilfe;;;Seit 2004;;;
;;Immunpathologie des Auges;Hans und Marlies Stock-Stiftung;;;Seit 2012;;;
;;Klinische und Molekulare Onkologie;Volkswagen;;;Seit 2012;;Volkswagen Stiftung;
;;Alte Geschichte;Alfried Krupp von Bohlen und Halbach-Stiftung;;;Seit 2012;;;
;;Zoologie;Deutsche Forschungsgemeinschaft;;;Seit 2010;;;
;;Bioinformatik;Max-Planck-Gesellschaft;;;Seit 2012;;;
;FH Dortmund;"Konstruktion Architektur und Metallbau mit dem Schwerpunkt
Stahlbau";Thyssen Krupp Steel AG;80000;;5 Jahre, 1.10.2006 - 30.09.2011;;;
;FH Südwestfalen;Schaltungstechnik/Industrieeelektronik;Unternehmensverband Westfalen Mitte e.V.;;150000;Seit 2008, 5 Jahre;;;
;;;Arnsberg, vom Arbeitgeberverband Ruhr/Lenne e.V.;;;;;;
;;;Märkischer Arbeitgeberverband e.V.;;;;;;
;;;Arbeitgeberverband der Metall- und Elektroindustrie Lüdenscheid e.V.;;;;;;
;;Visuelle Kommunikation;Unternehmensverband Westfalen Mitte e.V.;;150000;Seit 2008, 5 Jahre;;;
;;;Arnsberg, vom Arbeitgeberverband Ruhr/Lenne e.V.;;;;;;
;;;Märkischer Arbeitgeberverband e.V.;;;;;;
;;;Arbeitgeberverband der Metall- und Elektroindustrie Lüdenscheid e.V.;;;;;;
;;Internationales Projektmanagement und Kompetenztransfer;Unternehmensverband Westfalen Mitte e.V.;;200000;Seit 2008, 5 Jahre;;;
;;;Arnsberg, vom Arbeitgeberverband Ruhr/Lenne e.V.;;;;;;
;;;Märkischer Arbeitgeberverband e.V.;;;;;;
;;;Arbeitgeberverband der Metall- und Elektroindustrie Lüdenscheid e.V.;;;;;;
;Universität Wuppertal;Mechatronik;Institut für Sicherungssysteme;;;Seit 10/2007;;;
;;;Huf Hülsbeck & Fürst GmbH & Co. KG;;;;;;
;;;CARL FUHR GmbH & Co. KG;;;;;;
;;;C.Ed. Schulte GmbH;;;;;;
;;;EMKA Beschlagteile GmbH & Co. KG;;;;;;
;;;Kiekert AG;;;;;;
;;;Schulte-Schlagbaum AG;;;;;;
;;;Wilh. Schlechtendahl & Söhne GmbH & Co. KG;;;;;;
;;;WILKA Schließtechnik GmbH;;;;;;
;;;WITTE- Velbert GmbH & Co. KG;;;;;;
;;;Woelm GmbH;;;;;;
;;;YMOS Ubrig GmbH;;;;;;
;;;Brose Gruppe;;;;;;
;;Mathematische und Theoretische Physik;Volkswagen;;;Seit 12/2007;;Volkswagenstiftung;
;;Wirtschaftswissenschaft, insbesondere Gesundheitsökonomie und Gesundheitsmanagement;Barmenia Versicherungen;;;Seit 09/2009;;;
;;;GHD GesundHeits GmbH;;;;;;
;;;Helios Klinikum Wuppertal;;;;;;
;;;Kliniken St. Antonius;;;;;;
;;;Klinikum Solingen;;;;;;
;;;Radprax;;;;;;
;;;Sana Klinikum;;;;;;
;;;St. Josef Krankenhaus;;;;;;
;;Kommunikation und Management chemischer Prozesse in der Industrie;Cognis;;;Seit 06/2009;;;
;;Experimentelle Teilchenphysik;Helmholtz-Allianz;;;Seit 06/2010;;;
;;Technischer Infektionsschutz;Deutsches Grünes Kreuz;;;Seit 12/2010;;;
;;Entrepreneurship, Innovation und/oder unternehmerischer Wandel;Jackstädt-Stiftung;;;Seit 04/2011;;;
;;Entrepreneurship, Innovation und/oder unternehmerischer Wandel;Jackstädt-Stiftung;;;Seit 04/2011;;;
;;Neue Fertigungstechnologien und Werkstoffe;Knipex-Werk C. Gustav Putsch KG;;;Seit 10/2012;;;
;;;GEDORE Werkzeugfabrik GmbH & Co. KG;;;;;;
;;;HAZET-Werk Hermann Zerver GmbH & Co. KG;;;;;;
;;;Wilkinson Sword GmbH;;;;;;
;;;K.A. Schmersal GmbH & Co. KG;;;;;;
;;;SMS ELOTHERM GmbH;;;;;;
;;;Eduard Wille GmbH & Co. KG;;;;;;
;;;Global C GmbH;;;;;;
;;;Arnz Flott GmbH;;;;;;
;;;Helmut Kempkes GmbH;;;;;;
;;;Vorwerk Autotec GmbH;;;;;;
;;;Stadt-Sparkasse Solingen;;;;;;
;FH Westliches Ruhrgebiet;Existenz- und Unternehmensgründungen;Sparkasse Mülheim an der Ruhr;;;5 Jahre, seit 2012;;;
;;Energie- und Informationstechnik;Sparkasse Bottrop;;;4 Jahre, seit 2012;;;
;Hochschule Rhein-Waal;Maschinenbau, insbesondere Produktdesign;Elten GmbH;;;Seit 2011;;;
;;;Sparkasse Kleve;;;;;;
;;;Oxford Instruments Analytical GmbH;;;;;;
;;;Hans Hussmann GmbH;;;;;;
;;;Colt International GmbH;;;;;;
;;;Erich Tönnissen-Stiftung;;;;;;
;;;Karl-und-Maria-Kisters-Stiftung;;;;;;
;;;Verfers Elektromontagen GmbH;;;;;;
;;;Wienstroth Wärmebehandlungstechnik GmbH;;;;;;
;;;Akkerman GmbH;;;;;;
;;;Wirtschaftsförderung Kreis Kleve GmbH;;;;;;
;;;Horlemann Elektrobau GmbH;;;;;;
;;Governance von grenzüberschreitenden Allianzen unter besonderer Berücksichtigung des Wassersektors;Rhein-Waal und die Wasserbehörde Velt und Vecht (Coevorden, Niederlande);;;Seit 2013;;;
;Universität Bonn (Klinikum);Stiftungsprofessur für Zellbiologie und Molekulare Wirkstofforschung;Engelhard Arzneimittel;;;Seit 2002;http://www3.uni-bonn.de/forschung/forschungsprofil/stiftungsprofessuren-an-der-universitaet-bonn;;
;;Stiftungsprofessur für Oralmedizinische Technologie;Cendres & Métaux SA;;;Seit 2006;;;
;;Lichtenberg-Professur für Stammzellpathologien;Volkswagen;;;Seit 2008;;VolkswagenStiftung;
;;Prostatakarzinom;Rudolf-Becker-Stiftung;;;Seit 2010;;;
;;Degenerative Netzhauterkrankungen;Pro Retina-Stiftung;;;Seit 2012;;;
;;Neurourologie;Neurologisches Rehabilitationszentrum Godeshöhe e.V.;;;Seit 2012;;;
;;Heisenberg-Professur für Experimentelle Allergologie und Immundermatologie;Bundesministerium für Bildung und Forschung;;;Seit 2009;;;
;;Professur für Experimentelle Zahn-, Mund- und Kieferheilkunde im Rahmen der Klin. Forschergruppe 208: Parodontopathien;Deutsche Forschungsgemeinschaft;;;Seit 2009;;;
;;Schwerpunktprofessur: Regulation von Immunfunktionen durch nichtkodierende RNA;Ministerium für Innovation, Wissenschaft und Forschung NRW;;;Seit 2009;;;
;;Heisenberg-Professur für Dermatogenetik;Deutsche Forschungsgemeinschaft;;;Seit 2010;;;
;;Juniorprofessur für Neurophysiologie;Ministerium für Innovation, Wissenschaft und Forschung NRW;;;Seit 2011;;;
;;Juniorprofessur für Anantomie;Ministerium für Innovation, Wissenschaft und Forschung NRW;;;Seit 2012;;;
;Universität Bochum (ohne Klinikum);Christliche Archäologie;Gielen-Leyendecker-Stiftung;;;Seit 2008;;;
;;"Juniorprofessur  ""Nachhaltige Nutzung natürlicher Ressourcen""";Bosch;;;Seit 2009;;Robert-Bosch-Stiftung;
;;"Juniorprofessur ""Nachhaltige Nutzung natürlicher Ressourcen""";Bosch;;;Seit 2012;;Robert-Bosch-Stiftung;
;;"Schumpeter Fellowship ""Mikroökonomik"" ";Volkswagen;;;Seit 2012;;VolkswagenStiftung;
;;Juniorprofessur Altamerikanistik;Deutsche Altamerika-Stiftung;;;Seit 2013;;;
;;Astrophysik;Alexander von Humboldt Stiftung;;;Seit 2009;;;
;;Schwerpunktprofessur: Genomic Bioinformatics and Mathematics;Ministerium für Innovation, Wissenschaft und Forschung NRW;;;Seit 2009;;;
;;Heisenberg-Professur für Bildgebung in der Neuroökonomie;Deutsche Forschungsgemeinschaft;;;Seit 2010;;;
;;Heisenberg-Professur für Astrophysik;Deutsche Forschungsgemeinschaft;;;Seit 2010;;;
;;"Alexander von Humboldt-Professur ""Atom- und Molekülphysik""";Alexander von Humboldt Stiftung;;;Seit 2013;;;
;;"Alexander von Humboldt-Professur ""Philosophie""";Alexander von Humboldt Stiftung;;;Seit 2013;;;
;Hochschule Hamm-Lippstadt;Industrielle Informatik und Biosystemtechnik;Stadtwerke Hamm;;;5 Jahre, Beginn Mai 2010;;;
;;Photonik und Materialwissenschaften;Sparkasse Lippstadt;;;5 Jahre, Beginn Januar 2011;;;
;;;Volksbank Lippstadt eG;;;;;;
;;;Hella;;;;;;
;RWTH Aachen (ohne Klinikum);Medieninformatik;B-IT Bonn-Aachen International Center for Information Technology;;;2002 – 2014;;;
;;Optimierung von Distributionsnetzwerken;Deutsche Post;;;2004 – 2013;;;
;;Energy Efficient Buildings and Indoor Climate;E.ON;;;2007 – 2017;;;
;;Automation of complex power systems;E.ON;;;2007 – 2017;;;
;;Energy Economics and Management;E.ON;;;2007 – 2017;;;
;;Zukunftsforschung;Verein deutscher Ingenieure e.V.;;;2010 – 2015;;;
;;Chemosensorik;Volkswagen;;;2009 – 2014;;Volkswagen AG;
;;Funktionale und interaktive Polymere;Volkswagen;;;2009 – 2014;;Volkswagen AG;
;;Mechatronische Systeme am Verbrennungsmotor;KSPG AG;;;2013 – 2018;;;
;;Kraftfahrzeug Systembewertung;ZF Friedrichshafen;;;2013 – 2018;;;
;;Medical Information Technology;Philips;;;2003 – 2008;;;
;;Antriebssysteme für Windenergieanlagen;Bosch;;;2013 – 2017;;;
;;Production Engineering of E-Mobility Components;Bosch;;;2013 – 2017;;;
;RWTH Aachen (Klinikum);Palliativmedizin;Grünenthal GmbH;;;Seit 2003 dauerhaft;;;
;;Behavioral Psychobiology;Astra Zeneca GmbH;;;2004 – 2009;;;
;;Urologische Onkologie;Astellas GmbH;;;2012 – 2014;;;
;Hochschule Ostwestfalen-Lippe;Holzbauproduktion;Jowat;;;3 Jahre ab Wintersemester 05/06;;;
;;;Wemhöner;;;;;;
;;;Stiftung Standortsicherung Kreis Lippe;;;;;;
;;Designmanagement, insbesondere in der Küchenmöbelindustrie;Marketinggemeinschaft A30 Küchenmeile e.V.;;;5 Jahre, 1.8.2009-31.12.2013;;;
;;;Strukturfonds NRW;;;;;;
;;Energietechnik;Stiftung Standortsicherung Kreis Lippe;;;1.10.2010 – 30.09.2013;;;
;;;2G-Bioenergietechnik AG;;;;;;
;;;Biogas Nord AG;;;;;;
;;Film- und Musikinformatik;Stiftung Standortsicherung Kreis Lippe;;;5 Jahre ab Berufungsdatum, seit 1.4. 2013;;;
;;;Sparkasse Paderborn-Detmold;;;;;;
;;Nutzergerechte Gestaltung von technischen Systemen mit dem Schwerpunkt Informatik;PHOENIX CONTACT GmbH & Co. KG;;;5 Jahre ab Berufungsdatum, ist ausgeschrieben;;;
;;;WINCOR NIXDORF International GmbH;;;;;;
;;;Fraunhofer-Gesellschaft;;;;;;
;;;Stiftung Standortsicherung Kreis Lippe;;;;;;
;;Technologie und  Analytik der Waschmittel- und Körperpflegeprodukte;Stifterverband für die Deutsche Wissenschaft e.V.;;;5 Jahre ab Berufung, Ausschreibung in Planung;;;
;;;SEPAWA Vereinigung der Seifen-, Parfüm- und Waschmittelfachleute e.V.;;;;;;
;Hochschule für Musik Detmold;Musikinformatik;Standortsicherung Kreis Lippe;;;;;;
;;Klavier;Standortsicherung Kreis Lippe;;;;;;
;;Musikvermittlung;Standortsicherung Kreis Lippe;;;;;;
;;Fachdidaktik Musik;Schulministerium NRW;;;;;;
;Universität Münster (Klinikum);Rheumatologie;Wyeth Pharma;;1075000;ab 1.10. 2009, Dauer: 5 Jahre;;;
;;Kardiovaskuläre Bildgebung;Peter-Lancier-Stiftung;;425000;1.4. 2008 bis 15.11.2010  – Nachfolger seit 11.3.2013, Dauer: 5 Jahre;;;
;Universität Münster (ohne Klinikum);IT-Recht;RWTÜV-Stiftung;;;ab 1.10.2012, Dauer: 6 Jahre;;;
;;Naturwissenschaftliche Früherziehung;Deutsche Telekom;;1032000;ab 1.8.2008, Dauer: 6 Jahre;;Deutsche Telekom Stiftung;
;;Angewandte Materialwissenschaft zur Energiespeicherung und Energieumwandlung;Volkswagen;;2250000;1.1.2008 – 31.12.2012;;Volkswagen AG;
;;;Evonik;;;;;;
;;;Rockwood Lithium GmbH;;;;;;
Sachsen-Anhalt;Universität Halle (ohne Klinikum);Q-Cells Stiftungsprofessur„Experimentelle Physik“;Q-Cells AG;;;5 Jahre, seit 2010;;;
;;Betriebswirtschaftslehre insbesondere Unternehmensethik und Controlling;Friede Springer-Stiftung;;;5 Jahre, seit 2013;;;
;;GRUR-Stiftungsprofessur für Recht des geistigen Eigentums;Deutsche Vereinigung Rechtsschutz/Urheberrecht;;;5 Jahre, seit 2010;;;
;;Heisenberg-Professur allgemeine Erziehungswissenschaft;Deutsche Forschungsgemeinschaft;;;5 Jahre, seit 2010;;;
;Universität Magdeburg (ohne Klinikum);Ökonomische Bildung und ihre Didaktik;Industrie- und Handelskammern MD/HAL;;;5 Jahre, seit 2012;;;
;Hochschule Anhalt (FH);Werkstoffe der Photovoltaik;Fraunhofer-Gesellschaft;;;5 Jahre, seit 2009;;;
;Hochschule Merseburg (FH);Kunststofftechnik/Verfahrenstechnik;TOTAL Raffinerie Mitteldeutschland GmbH;;;5 Jahre, seit 2012;;;
;;;Dow Olefinverbund GmbH;;;;;;
;;Kunststofftechnik / Polymerwerkstoffe;Zukunftsstiftung KMU;;;5 Jahre, seit 2011;;;
;;;Styron Deutschland GmbH;;;;;;
;Hochschule Harz (FH);Elektromaschinenkonstruktion;VEM motors GmbH Wernigerode;;;5 Jahre, seit 2010;;;
;;Internationales Finanzmanagement;Royal Bank of Scotland;;;5 Jahre, seit 2008;;;
;;Unternehmensbesteuerung (Steuerlehre und Steuerrecht);Gerhard Bürger-Stiftungsprofessur;;;5 Jahre, seit 2011;;;
;;VW Financial Services Stiftungsprofessur für Wirtschaftsinformatik, insbesondere Requirements-Engineering;Volkswagen;;;3 Jahre, geplant zum WS 2013/2014;;Volkswagen Financial Services AG;
Berlin;FU Berlin;Klinische Psychologie - Intervention (Juniorprofessur);Reemtsma-Stiftung (über Behandlungszentrum für Folteropfer, BZFO);;;;http://www.fu-berlin.de/forschung/profil/kooperationen/stiftungs_prof/index.html;;
;;Arabistik;Simon Claussen-Stiftung;;;;;;
;;Professur für die Kunst Afrikas;Alfried Krupp von Bohlen und Halbach-Stiftung;;;;;;
;;Professur für die Kunst Afrikas;Alfried Krupp von Bohlen und Halbach-Stiftung;;;;;;
;;Neuere Geschichte;Alfried Krupp von Bohlen und Halbach-Stiftung;;;;;;
;;Mathematik mit Schwerpunkt Diskrete Mathematik;Deutsche Forschungsgemeinschaft;;;;;;
;;Mathematical Geometry Processing;Deutsche Forschungsgemeinschaft;;;;;;
;;Secure Identity (Technologien zur Sicherung von Identitäten);Bundesdruckerei;;;;;;
;;Neogräzistik;Republik Griechenland, Ministerium für Erziehung und religiöse Angelegenheiten;;;;;;
;;Infektionsimmunologie;Deutsche Forschungsgemeinschaft;;;;;;
;;Wirtschaftsinformatik: insb. Revenue Management Systeme und Stochastische Simulation;Lufthansa;;;;;;
;HU Berlin;Theoretische Physik, Mathematische Physik;Alexander von Humboldt Stiftung;;;bis 12/2015;;;
;;Stochastische Analysis und Stochastik der Finanzmärkte;Deutsche Forschungsgemeinschaft;;;bis 05/2014;;;
;;Alfred-Freiherr von Oppenheim-Professur für Geschichte Preußen-Professur;Alfred-Freiherr von Oppenheim-Stiftung;;;bis 09/2015;;;
;;Klassische Altertumswissenschaften und Wissenschaftsgeschichte;Alexander von Humboldt Stiftung;;;bis 12/2014;;;
;;Ernst Fraenkel Professorship in Comparative Studies of Democracy;Deutsche Forschungsgemeinschaft;;;bis 11/2013;;;
;;G.Simmel Prof. Comparative Studies on Diversity/Social Conflicts;Deutsche Forschungsgemeinschaft;;;bis 11/2013;;;
;;Betriebswirtschaftliche Steuerlehre;KPMG;;;bis 09/2014;;;
;TU Berlin;;;;;;;;
