Bundesland;Uni;Name;Funktion;Unternehmen;Alternativname
;;Stephanie Spinner-König;;Spinner GmbH;
;;Leopold Stiefel;;Media-Saturn-Holding GmbH;
;Technische Hochschule Nürnberg Georg Simon Ohm;Corinna Diederichs;;cd Personalmanagement;
;;Josef Hasler;;N-ERGIE AG;
;Technische Universität München (ohne Klinikum);Susanne Klatten;;BMW;
;;;;SGL Carbon GmbH;
;;;;Altana AG;
;;Dr. Nicola Leibinger-Kammüller;;Trumpf;
;;Peter Löscher;;Siemens;
;;Dr.-Ing. Dr.-Ing. E.h. Norbert Reithofer;;BMW;
;Universität Augsburg;Dr. Reinhard Janta;;SGL Carbon GmbH;
;;Dr. Hartmut Wurster;;UPM-Kymmene Corporation;
;Hochschule Augsburg;Michael Grandel;Vorsitzender;Dr. Grandel-Gruppe;
;;Roland Kreitmeier;;Siemens;
;;Paul Waning;;Lechwerke AG;
;;Klaus Weinmann;;CANCOM SE;
;Universität Bamberg;Dr. Jürgen Ederleh;;HIS GmbH;
;;Dr. Wolf-Rüdiger Knocke;;Nürnberger Versicherungsgruppe;
;Universität Bayreuth;Dr. Stephan Bieri;Vorsitzender;BIPP GmbH;
;;Dr. Hans Jürgen Wernicke;;Südchemie AG;
;Universität Erlangen-Nürnberg (ohne Klinikum);Prof. Dr. Hermann Requardt;;Siemens;
;;Dr. Bernd Rödl;;Rödl & Partner;
;;Maria-Elisabeth Schaeffler;;Schaeffler Gruppe;
;;Prof. Dr. Klaus Wucherer;;Festo;
;Universität München (ohne Klinikum);Prof. Dr. h.c. Roland Berger;;Roland Berger Strategy Consultants GmbH;
;Universität Passau;Dr. Dierk Ernst;Vorsitzender;Hannover Leasing GmbH;
;;Dr. Axel Diekmann;;Neue Presse Verlags-GmbH;
;;Dr. Manfred Schwab;;ZF Passau GmbH;
;Universität Regensburg (ohne Klinikum);Ernst Baumann;Vorsitzender;Krones AG;
;;Thierry Tricot;;Schneider Electric Sachsenwerk GmbH;
Hamburg;Technische Universität Hamburg-Harburg;Walter Conrads;Vorsitzender;Philips;
;;August-Wilhelm Henningsen;;Lufthansa;Lufthansa Technik
;;Sibylle Stauch-Eckmann;;Endo-Klinik;
;;Michael Westhagemann;;Siemens;
;Hochschule für Musik und Theater Hamburg;Hermann Ebel;;HANSA TREUHAND Holding AG;
