Bundesland;Universität;Jahr;Name des Gebers;Geld-/Sachspende;Art der Leistung;Wert;Hinweis;Alternativname;;;
;;2011;Neue Liszt Stiftung Weimar;Geldleistung;Spende;1000;Sonderpreis beste Lisztinterpretation;;;;
;;2011;anonymisiert*;Geldleistung;Spende;5000;Spende für HfM-Entwicklung;;;;
;;2011;anonymisiert*;Geldleistung;Spende;4200;Begabtenförderung;;;;
;;2011;anonymisiert*;Geldleistung;Spende;5000;Spende Musik- förderung;;;;
;;2011;anonymisiert*;Geldleistung;Spende;2000;Spende Graner Messe;;;;
;;2011;anonymisiert*;Geldleistung;Spende;1200;Mittel für archiv- arische Aufarbeitung;;;;
;;2011;Neue Liszt Stiftung Weimar;Geldleistung;Spende;1000;Sonderpreis Franz- Liszt-Wettbewerb;;;;
;;2011;Klavierhaus M. Fiech;Geldleistung;Spende;500;Sonderpreis Franz- Liszt-Wettbewerb;;;;
;;2011;anonymisiert*;Geldleistung;Spende;929;Fördermittel Jahrbuch KuMa 2010;;;;
;;2011;anonymisiert*;Geldleistung;Spende;2000;Zuschuss Projekt Franz Kafka;;;;
;;2011;anonymisiert*;Geldleistung;Spende;4500;Spende Deutschlandstipendium;;;;
;Technische Universität Ilmenau;2010;anonymisiert*;Geldleistung;Spende;500;kulturelle Veranstal- tung Finanzierung Flügel;;;;
;;2010;anonymisiert*;Geldleistung;Spende;2000;wissenschaftliche Veranstaltung Jahrestagung DGPUK;;;;
;;2010;anonymisiert*;Geldleistung;Spende;2000;wissenschaftliche Veranstaltung „Lange Nacht der Technik“;;;;
;;2010;anonymisiert*;Geldleistung;Spende;2000;Forschung & Lehre;;;;
;;2010;anonymisiert*;Geldleistung;Spende;500;wissenschaftliche Veranstaltung „Lange Nacht der Technik“;;;;
;;2010;anonymisiert*;Geldleistung;Spende;1000;wissenschaftliche Veranstaltung „Lange Nacht der Technik“;;;;
;;2010;anonymisiert*;Geldleistung;Spende;5500;Forschung & Lehre;;;;
;;2010;anonymisiert*;Sachleistung;Spende;32185;Forschung & Lehre 7 Schutzgeräte der MiCOM Serie;;;;
